Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
97,,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA / NOAA / ESA / EUMETSAT,"Success
",USSF,Success,5 November 2020,23:24:23
98,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",NASACCP,Success,16 November 2020,00:27
99,,SpaceX CRS-21,"2,972 kg",LEO,NASA (CRS),"Success
",NASANOAAESA,Success,21 November 2020,17:17:08
100,,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",SpaceX,Success,25 November 2020,02:13
101,,NROL-108,C,LEO,NRO,"Success
",NASA,Success,6 December 2020,16:17:08
102,,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",Sirius XM,Success,13 December 2020,17:30:00
103,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",NRO,Success,19 December 2020,14:00:00
104,,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",Türksat,Failure,8 January 2021,02:15
105,,Dragon,0,LEO,"NASA (COTS)
NRO",Success,SpaceX,Failure,20 January 2021,13:02
106,,Dragon,525 kg,LEO,NASA (COTS),Success,F9 v1.0B0003.1,"No attempt
",24 January 2021,15:00
1,,SpaceX CRS-1,"4,700 kg",LEO,NASA (CRS),"Success
",F9 v1.0B0004.1,No attempt,4 June 2010,18:45
2,,SpaceX CRS-2,"4,877 kg",LEO,NASA (CRS),"Success
",F9 v1.0B0005.1,"No attempt
",8 December 2010,15:43
3,,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.0B0006.1,Uncontrolled,22 May 2012,07:44
4,,SES-8,"3,170 kg",GTO,SES,Success,F9 v1.0B0007.1,No attempt,8 October 2012,00:35
5,,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.1B1003,No attempt,1 March 2013,15:10
6,,SpaceX CRS-3,"2,296 kg",LEO,NASA (CRS),"Success
",F9 v1.1,Controlled,29 September 2013,16:00
7,,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,3 December 2013,22:41
8,,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,6 January 2014,22:06
9,,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",18 April 2014,19:25
10,,SpaceX CRS-4,"2,216 kg",LEO,NASA (CRS),Success,F9 v1.1,Uncontrolled,14 July 2014,15:15
11,,SpaceX CRS-5,"2,395 kg",LEO,NASA (CRS),Success,F9 v1.1,Failure ,5 August 2014,08:00
12,,DSCOVR,570 kg,HEO,"USAF
NASA
NOAA","Success
",F9 v1.1,Controlled,7 September 2014,05:00
13,,ABS-3A,"4,159 kg",GTO,"ABS
Eutelsat","Success
",F9 v1.1,No attempt,21 September 2014,05:52
14,,SpaceX CRS-6,"1,898 kg",LEO,NASA (CRS),"Success
",F9 v1.1,Failure,10 January 2015,09:47
15,,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,Turkmenistan NationalSpace Agency[88],"Success
",F9 v1.1,No attempt,11 February 2015,23:03
16,,SpaceX CRS-7,"1,952 kg",LEO,NASA (CRS),Failure,F9 v1.1,Precluded,2 March 2015,03:50
17,,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 v1.1,Success,14 April 2015,20:10
18,,Jason-3,553 kg,LEO,"NASA (LSP)
NOAA
CNES","Success
",F9 v1.1,Failure,27 April 2015,23:03
19,,SES-9,"5,271 kg",GTO,SES,"Success
",F9 FT,Failure,28 June 2015,14:21
20,,SpaceX CRS-8,"3,136 kg",LEO,NASA (CRS),Success,F9 v1.1,Success,22 December 2015,01:29
21,,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,17 January 2016,18:42
22,,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",F9 FT,Success,4 March 2016,23:35
23,,ABS-2A,"3,600 kg",GTO,"ABS
Eutelsat","Success
",F9 FT,Failure,8 April 2016,20:43
24,,SpaceX CRS-9,"2,257 kg",LEO,NASA (CRS),"Success
",F9 FT,Success,6 May 2016,05:21
25,,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,27 May 2016,21:39
26,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,15 June 2016,14:29
27,,SpaceX CRS-10,"2,490 kg",LEO,NASA (CRS),"Success
",F9 FT,Success,18 July 2016,04:45
28,,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",F9 FT,No attempt,14 August 2016,05:26
29,,SES-10,"5,300 kg",GTO,SES,Success,F9 FT,Success,14 January 2017,17:54
30,,NROL-76,C,LEO,NRO,"Success
",F9 FT,Success,19 February 2017,14:39
31,,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT♺,No attempt,16 March 2017,06:00
32,,SpaceX CRS-11,"2,708 kg",LEO,NASA (CRS),"Success
",F9 FT,Success,30 March 2017,22:27
33,,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FT,Success,1 May 2017,11:15
34,,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",F9 FT,Success,15 May 2017,23:21
35,,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",F9 FTB1029.2,No attempt,3 June 2017,21:07
36,,SpaceX CRS-12,"3,310 kg",LEO,NASA (CRS),"Success
",F9 FT,Success,23 June 2017,19:10
37,,Formosat-5,475 kg,SSO,NSPO,"Success
",F9 FT,Success,25 June 2017,20:25
38,,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",F9 B4,Success,5 July 2017,23:38
39,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,14 August 2017,16:31
40,,SES-11,"5,200 kg",GTO,"SES S.A.
EchoStar","Success
",F9 B4,Success,24 August 2017,18:51
41,,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",F9 B4,Success,7 September 2017,14:00
42,,SpaceX CRS-13,"2,205 kg",LEO,NASA (CRS),"Success
",F9 FTB1031.2,Success,9 October 2017,12:37
43,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B4,Controlled,11 October 2017,22:53:00
44,,Zuma,C,LEO,Northrop Grumman [f][238],Success,F9 FTB1035.2,Success,30 October 2017,19:34
45,,GovSat-1,"4,230 kg",GTO,SES,Success,F9 FTB1036.2,Controlled,15 December 2017,15:36
46,,Paz,"2,150 kg",SSO,"Hisdesat
exactEarth
SpaceX",Success,F9 B4,No attempt,23 December 2017,01:27
47,,Hispasat 30W-6,"6,092 kg",GTO,"Hispasat[277]
NovaWurks",Success,F9 FTB1032.2,No attempt,8 January 2018,01:00
48,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 FTB1038.2,No attempt,31 January 2018,21:25
49,,SpaceX CRS-14,"2,647 kg",LEO,NASA (CRS),Success,F9 B4,No attempt,22 February 2018,14:17
50,,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA (LSP),Success,F9 B4B1041.2,Success,6 March 2018,05:33
51,,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia / BTRC,Success,F9 B4B1039.2,Success,30 March 2018,14:14
52,,Iridium NEXT,"6,460 kg",Polar,"Iridium Communications
GFZ • NASA",Success,F9 B4,No attempt,2 April 2018,20:30
53,,SES-12,"5,384 kg",GTO,SES,Success,F9 B5B1046.1,No attempt,18 April 2018,22:51
54,,SpaceX CRS-15,"2,697 kg",LEO,NASA (CRS),Success,F9 B4B1043.2,No attempt,11 May 2018,20:14
55,,Telstar 19V,"7,075 kg",GTO,Telesat,Success,F9 B4B1040.2,Success,22 May 2018,19:47
56,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B4B1045.2,Success,4 June 2018,04:45
57,,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,F9 B5,Success,29 June 2018,09:42
58,,Telstar 18V,"7,060 kg",GTO,Telesat,Success,F9 B5B1048,Success,22 July 2018,05:50
59,,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,F9 B5B1046.2,Success,25 July 2018,11:39
60,,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,F9 B5,Success,7 August 2018,05:18
